Resultado obtido via SPG com funcao penalizada por 10E+26 quando x > 0.1y
Resultado apenas utilizando SPG
Resumo SPG
npun = 100
ndim = 2
f_SPG = 921.4270631728488
||g_SPG|| = 74.24157476901576
x_min = 4.023363882480257 | x_max = 4.907817912887587
y_min = 48.606247811406696 | y_max = 49.501800197509446

metodo	ponto	x	y
MADS	17	4.7405403084825	48.70862116783923
MADS	18	4.89027892254055	49.24324506866277
MADS	19	4.10509065086844	49.0864610101842
MADS	20	4.8788304864181	49.29908614070747
MADS	21	4.4307558955761	48.60124781140669
MADS	22	4.62557258144918	49.44985449570681
MADS	23	4.30218641222539	49.36878728944643
MADS	24	4.72618951763236	48.70594227856602
MADS	25	4.45027300630082	48.69947501917633
MADS	26	4.28656096648453	49.49662989439728
MADS	27	4.73101677395943	48.78822365228483
MADS	28	4.75217785473239	48.82726431069532
MADS	29	4.30051474032761	49.42717685588119
MADS	30	4.82872172033779	48.66840968408593
MADS	31	4.8599540176914	48.73192390898509
MADS	32	4.76246075115513	49.32511703080886
MADS	33	4.26415574158131	48.71139142978091
MADS	34	4.81334297187318	48.66450986057922
MADS	35	4.81668660336445	49.32257651805959
MADS	36	4.70688347439885	48.69076720373794
MADS	37	4.6939040574307	48.90990015552399
MADS	38	4.35782617125723	49.3478828929254
MADS	39	4.93497173491605	49.43199127396686
MADS	40	4.74064634665526	48.75548011910823
MADS	41	4.90801791288759	49.08517912887589
MADS	42	4.76129007473775	49.46279755224559
MADS	43	4.43201590353736	48.76318606206206
MADS	44	4.93996797856222	49.41840015537105
MADS	45	4.53138909489352	48.57222881261734
MADS	46	4.87295071553456	49.30223572432897
MADS	47	4.48419030819272	49.52940126391762
MADS	48	4.90458981681455	49.36743960813034
MADS	49	4.77493673178304	48.76785813554269
MADS	50	4.93537003259392	49.36378082396315
MADS	51	4.54992013834127	48.71142640163131
MADS	52	4.42031572298147	49.32809776939989
MADS	53	4.57414479857577	48.7401420596514
MADS	54	4.62261842634224	49.46591882132255
MADS	55	4.34383218405053	49.48720533838588
MADS	56	4.80939908516636	49.19183380576567
MADS	57	4.824389226935	49.27684257002367
MADS	58	4.10612567554753	49.34150439069609
MADS	59	4.36818019463414	49.41041702315248
MADS	60	4.08267326492367	49.1502846927149
